tof,yaw,times,motor,orient_targ,times
3055,4,19349,140,0,19210
730,12,19609,140,0,19211
741,17,19779,140,0,19217
899,33,20066,140,0,19218
901,42,20220,140,0,19219
790,55,20494,140,0,19220
777,61,20616,140,0,19221
695,74,20858,140,0,19227
678,81,21053,140,0,19228
668,96,21303,140,0,19231
669,97,21425,140,0,19237
758,115,21754,-140,10,19352
814,119,21876,-140,10,19360
981,136,22158,-140,10,19362
985,138,22275,-140,10,19370
759,160,22580,-140,10,19372
753,163,22697,-140,10,19373
703,174,22952,-140,10,19379
700,-179,23112,-140,10,19380
718,-168,23387,-140,10,19382
761,-157,23640,-140,10,19383
778,-148,23837,-110,10,19389
987,-137,24114,-110,10,19399
1038,-130,24284,-110,10,19410
980,-118,24536,-110,10,19419
955,-110,24706,-110,10,19430
829,-97,24957,-110,10,19442
800,-92,25127,-110,10,19452
853,-78,25379,-110,10,19463
1646,-72,25545,140,10,19480
2268,-54,25809,140,10,19490
2503,-53,25931,140,10,19491
3160,-30,26269,140,10,19492
3308,-28,26391,-140,20,19612
2993,-18,26647,-140,20,19620
2953,-12,26817,-140,20,19622
800,5,27104,-140,20,19626
785,9,27231,-140,20,19628
736,26,27500,-140,20,19629
739,27,27622,-140,20,19636
755,36,28229,-140,20,19637
903,55,28590,-140,20,19638
886,56,28713,-140,20,19639
671,78,29124,-110,20,19640
656,80,29246,-110,20,19658
640,99,29541,-110,30,19782
637,100,29658,-110,30,19786
690,112,29961,-110,30,19797
736,118,30121,-110,30,19807
966,139,30419,-110,30,19817
966,140,30541,-110,30,19827
803,156,30841,-110,30,19839
802,158,30958,-110,30,19849
724,177,31266,-110,30,19860
712,179,31383,-110,30,19877
739,-162,31694,-110,30,19887
738,-162,31811,-110,30,19899
849,-146,32141,-110,30,19909
874,-140,32294,-110,30,19920
1118,-127,32594,140,30,19937
1130,-121,32752,140,30,19947
974,-103,33023,140,30,19948
959,-102,33146,140,30,19949
842,-83,33448,140,30,19955
844,-82,33565,-140,40,20069
1212,-70,34073,-140,40,20077
2365,-55,34403,140,40,20079
2718,-54,34525,140,40,20088
3240,-34,34889,140,40,20096
3103,-34,35016,140,40,20097
2894,-16,35339,140,40,20098
2882,-10,35506,140,40,20099
893,7,35771,140,40,20100
